#{"t_start": 1716948006.1722648, "env_id": "BattleModuleMagicTowerEnv"}
r,l,t
-50000.0,50000,70.089566
-50000.0,50000,139.958681
-50000.0,50000,209.85634
-50000.0,50000,280.356205
-50000.0,50000,351.780775
-50000.0,50000,422.671137
-50000.0,50000,493.762884
-49999.1,50000,564.617903
-50000.0,50000,634.661596
-50000.0,50000,706.210993
-19998300.3,50000,778.486218
-50000.0,50000,850.006061
-50000.0,50000,921.945605
-49998.2,50000,993.450486
-50000.0,50000,1065.626517
-49999.1,50000,1137.042296
-50000.0,50000,1209.044111
-50000.0,50000,1280.508013
-50000.0,50000,1352.63534
-50000.0,50000,1424.226503
-50000.0,50000,1610.926474
-50000.0,50000,1796.859233
-50000.0,50000,1982.740617
-50000.0,50000,2170.551839
-442077.6,50000,2357.659945
-50000.0,50000,2543.430351
-428657.4,50000,2731.205059
-50000.0,50000,2918.514062
-613635.3,50000,3104.130779
-478637.4,50000,3291.788116
-50000.0,50000,3478.502921
1065.1,518,3482.188506
-50000.0,50000,3668.307391
-413938.7,50000,3855.19985
