#{"t_start": 1717570021.8261635, "env_id": "BattleModuleMagicTowerEnv_6x6"}
r,l,t
-300.0,1000,2.369335
-300.0,1000,3.777575
-302.1,1000,5.180208
-300.0,1000,6.583385
-300.0,1000,8.012464
-302.1,1000,9.528519
-300.0,1000,11.049878
-300.0,1000,12.552199
-302.1,1000,14.108603
-300.0,1000,15.691411
-82.4,173,16.234807
-24.5,49,16.370185
-29.2,37,19.588263
-23.7,34,19.687347
-40.7,75,19.873438
-107.1,224,23.125419
-69.3,153,23.501974
-73.7,158,26.817121
-45.1,94,27.049439
-15.9,22,27.155618
-88.3,148,30.239866
-18.3,30,30.313934
-68.6,105,33.313429
-37.2,51,33.440512
-68.7,179,33.894734
12.7,23,37.163647
-39.1,101,37.395977
-25.4,29,37.462978
-24.1,59,37.598023
-38.2,117,39.868299
-60.7,113,40.137633
10.1,8,40.156633
-34.1,82,42.848397
-22.0,20,42.896914
-37.5,52,43.021429
-36.6,63,43.173947
-61.5,97,43.407487
6.9,14,45.550456
-30.1,42,45.653971
-22.6,74,45.838025
-26.3,31,45.914555
-34.5,95,46.153589
-18.9,25,48.321458
3.7,32,48.399974
-20.6,59,48.546496
-13.6,65,48.706528
-3.5,49,48.828043
-79.2,137,50.716776
-130.7,277,54.382128
-24.9,89,54.586752
-25.0,36,54.669753
-11.7,15,57.228016
-13.8,25,57.287753
-35.8,77,57.473281
-26.9,40,57.568791
-24.5,32,57.644308
-9.1,14,57.67831
-61.4,105,59.659838
-17.2,27,59.724354
-5.5,52,59.847871
-24.2,44,59.951119
4.5,15,59.987634
-12.3,27,60.05064
6.9,14,60.082644
-40.2,64,61.540575
6.6,33,61.624751
-11.5,45,61.738269
-28.2,88,61.981163
-49.6,88,64.129895
-33.1,82,64.332928
-13.6,22,64.385328
-13.4,49,64.502356
-28.6,28,64.569526
-32.5,63,66.487564
-8.3,45,66.598595
-31.8,57,66.740125
6.3,16,66.780129
-12.6,44,66.887647
-17.9,57,67.025694
-2.3,26,68.516712
7.4,17,68.560713
4.5,33,68.644244
-1.9,27,68.709957
-3.0,33,68.790468
-8.5,35,68.878488
-10.5,11,68.905006
-19.6,32,68.985015
-13.8,9,69.006537
-13.5,14,69.042537
-13.2,39,70.163985
-16.8,12,70.1945
7.1,36,70.281504
5.6,16,70.322014
-2.9,28,70.389019
-18.5,26,70.45353
5.3,30,70.555365
-17.2,11,70.582369
10.5,9,70.605883
-15.9,35,70.701394
-12.1,40,70.806909
-16.9,16,71.963833
12.6,27,72.030352
-31.6,31,72.11387
-9.1,44,72.237386
-24.7,22,72.295908
-16.8,12,72.326909
-11.7,15,72.361908
-0.2,44,72.471423
-3.3,27,72.539938
10.1,8,72.55894
-23.2,30,73.785392
-17.4,14,73.820902
-10.5,11,73.848902
1.1,30,73.922415
-12.2,6,73.936415
-11.1,13,73.970417
