#{"t_start": 1718514029.4791105, "env_id": "BattleModuleMagicTowerEnv_6x6"}
r,l,t
-996.5,1000,2.35785
-1000.0,1000,3.736275
-1000.0,1000,5.115271
-996.5,1000,6.499771
-1000.0,1000,7.925306
-1000.0,1000,9.419845
-996.5,1000,10.923069
-1000.0,1000,12.419822
-1000.0,1000,13.95794
-996.5,1000,15.513206
-12.3,27,15.629719
-65.4,119,15.982845
-157.4,297,19.473433
7.3,102,22.778835
-32.7,103,23.035615
-6.1,18,23.076758
-46.4,39,23.17296
-26.5,10,23.198971
-34.0,21,23.252493
-57.9,101,25.687841
-72.5,147,26.053118
-33.9,63,29.140969
-50.7,160,29.523315
-62.6,174,33.23079
-40.6,43,33.336838
-34.3,63,33.493944
-45.8,92,35.905289
-19.1,113,36.184555
-30.9,60,36.329138
-106.6,178,39.10188
-21.6,21,39.152391
-12.7,25,39.215905
-35.9,25,39.30391
-25.7,53,42.0017
29.9,29,42.077215
-54.7,139,42.41882
-31.2,98,45.504075
-8.9,25,45.571585
-4.4,16,45.610592
-13.4,10,45.637701
-26.3,54,45.770456
-6.2,22,45.822968
-64.6,85,46.033008
-33.6,22,46.090008
-31.8,63,48.152152
-42.5,80,48.357181
-40.4,33,48.439698
-27.7,84,48.646728
-32.2,22,50.63482
-12.7,25,50.69382
0.3,36,50.783338
-30.9,115,51.092419
0.1,8,51.115938
-35.8,67,53.753375
-24.8,20,53.799375
-0.5,11,53.826902
-3.6,19,53.871902
-8.7,21,53.922425
-0.9,9,53.942425
-37.7,49,54.058954
-29.9,59,54.196469
-21.3,42,54.294986
-5.2,22,55.813943
-24.6,24,55.874451
-14.5,31,55.948969
-0.6,15,55.988967
-8.7,21,56.039482
-111.3,174,59.522996
33.8,23,59.575996
-17.8,13,59.608001
-13.1,31,59.67951
2.3,33,59.756024
-17.3,38,59.845549
0.5,9,59.871549
23.2,35,59.957219
-19.8,15,59.998219
44.9,35,60.091747
-13.9,67,61.338184
-16.8,12,61.366183
-1.5,11,61.394184
-32.7,37,61.491701
-20.7,41,61.617728
-5.5,15,61.658735
5.8,72,61.839768
-24.0,22,63.616536
-13.3,27,63.684047
-20.0,40,63.78556
-23.6,23,63.841075
-8.7,22,63.897075
8.6,72,64.078281
-19.4,16,64.117285
51.7,24,64.176795
-25.0,53,65.949365
-38.3,74,66.132393
-38.2,35,66.221913
-42.7,120,68.76834
-40.7,82,68.969371
17.9,55,69.108891
-19.0,108,69.373432
-80.7,118,71.977072
2.3,79,72.199906
-50.6,87,74.822727
-21.6,21,74.87288
-23.4,72,75.042952
-32.6,69,75.205464
-18.0,16,75.242979
-61.4,86,77.163051
-45.3,58,77.305797
-16.4,13,77.340314
-2.7,15,77.376314
-22.6,45,77.487828
-18.4,15,77.534345
0.5,10,77.562344
-43.6,79,79.318279
-21.2,22,79.37379
-43.0,114,79.655337
-40.9,100,79.904678
-6.1,18,82.374267
0.9,10,82.398267
-27.4,53,82.5303
