#{"t_start": 1718186694.25419, "env_id": "BattleModuleMagicTowerEnv_6x6"}
r,l,t
-1000.0,1000,2.401037
-997.2,1000,3.810535
-996.5,1000,5.228872
-1000.0,1000,6.638175
-997.2,1000,8.062872
-996.5,1000,9.558606
-1000.0,1000,11.085735
-997.2,1000,12.614328
-996.5,1000,14.187283
-1000.0,1000,15.766045
-33.2,31,15.895422
-87.0,140,16.319538
2.8,23,16.385054
-62.1,137,19.590757
-220.1,367,23.815376
-19.5,27,23.882823
-16.1,18,23.930823
-40.7,84,27.726314
-61.5,135,28.069166
-19.9,26,28.138171
-99.6,161,31.162335
-20.5,80,31.354399
-151.8,305,34.660058
-48.2,69,39.40212
-21.4,85,39.619156
-51.2,92,39.853198
-107.7,144,42.303589
-50.1,107,42.592818
-30.8,30,45.482342
-20.8,29,45.554349
1.9,13,45.588862
-5.7,22,45.647929
-31.1,60,45.802959
-22.6,22,45.857963
-74.6,121,48.410366
-14.4,37,48.498061
-35.0,86,48.703095
-38.7,56,48.835613
-7.3,38,48.929129
-2.5,23,50.947191
-27.1,36,51.03971
-6.0,41,51.141227
-40.4,97,51.385596
-45.4,46,51.502118
-15.9,28,51.572628
-15.8,11,53.610314
-15.9,15,53.646314
-29.5,28,53.717833
-6.7,23,53.77435
-43.0,87,53.990576
-32.2,46,54.132089
-33.9,81,56.328378
4.1,8,56.350378
-15.7,52,56.481013
-10.1,32,56.560019
-5.8,33,56.64236
-8.4,24,56.704873
-23.2,24,56.765878
-3.3,21,56.819391
-38.8,54,58.254899
-13.2,7,58.272411
-17.1,39,58.372929
-39.0,57,58.516448
-12.2,6,58.533448
-29.5,57,58.679483
-20.9,40,58.782002
-18.3,43,60.350152
-2.1,17,60.391325
6.7,17,60.435325
-17.8,13,60.469843
1.6,20,60.517843
-31.8,47,60.636356
-18.6,18,60.686875
-27.9,54,60.824563
-15.3,26,60.889629
2.3,14,60.926631
6.6,15,62.374428
-16.5,8,62.398428
-18.6,18,62.449433
3.7,14,62.487962
-6.0,23,62.545963
-15.2,9,62.56949
-5.7,22,62.62549
