#{"t_start": 1718528712.2435002, "env_id": "CoinModuleMagicTowerEnv_6x6"}
r,l,t
-975.9,1000,2.316351
-987.6,1000,3.678216
-986.9,1000,5.016343
-975.9,1000,6.345594
-987.6,1000,7.679736
-986.9,1000,9.103376
-975.9,1000,10.552841
-987.6,1000,12.030207
-986.9,1000,13.471798
-975.9,1000,14.958177
-247.3,361,20.71697
-117.9,206,24.402104
-185.9,284,28.998895
-165.5,363,33.236581
-88.7,201,37.219301
-129.9,271,40.870056
-262.0,487,45.404265
-488.9,778,50.834248
-112.5,167,54.330055
2.9,77,54.523116
-139.0,287,58.144169
13.5,58,58.286216
-185.1,382,62.301235
-0.5,93,62.557307
-43.3,115,65.013264
-35.1,143,65.365392
-10.2,102,68.493983
30.1,33,68.576504
-158.3,200,69.078666
-32.4,155,73.387383
-8.1,81,73.590657
-86.9,92,76.876233
-91.2,184,77.364588
-146.1,276,86.010246
-9.9,94,86.242829
-114.5,165,89.623734
20.7,48,89.742264
-84.1,234,93.919465
9.3,58,94.062515
-45.6,157,97.366359
-2.5,88,97.590417
17.3,50,97.713959
24.1,46,97.830009
-25.3,122,100.073073
-95.7,226,104.548858
24.1,30,104.622863
-19.9,118,104.91258
-13.9,96,107.823121
12.3,55,107.957773
-9.7,103,108.239534
4.2,75,108.425076
10.7,40,110.782569
-24.7,113,111.061093
-47.4,140,114.066032
17.5,54,114.199562
-60.9,164,114.603669
-11.7,93,118.363217
-0.7,82,118.566276
12.7,63,118.721816
4.3,70,120.962077
-469.9,579,126.526003
-10.1,88,126.740579
9.7,66,129.32841
-19.3,102,129.58323
14.3,53,129.718754
23.3,44,129.830873
-80.3,187,132.392166
-18.1,119,135.768445
-17.6,115,136.054019
4.9,82,136.25611
-0.3,90,138.9983
-87.3,226,143.365841
7.2,63,143.524372
7.5,85,143.76715
23.8,47,143.885679
-23.6,107,146.01113
12.6,61,146.160191
25.4,44,146.267717
25.3,42,146.374448
-51.5,156,148.290864
6.3,68,148.453461
-20.8,82,148.656521
10.7,72,150.926524
-117.2,229,155.225703
22.7,53,155.351221
5.2,74,155.525839
35.6,31,155.600354
-78.6,181,157.804096
-18.3,108,158.088
-28.8,122,160.945576
10.4,66,161.105627
17.7,58,161.251667
15.0,53,163.350459
21.9,51,163.471066
-134.0,131,163.78621
32.6,34,163.868735
20.2,73,166.751554
6.5,65,166.907601
15.3,52,167.030674
-19.3,116,169.410899
-18.0,107,169.665667
28.7,33,169.743676
-4.9,82,169.938729
-10.1,90,172.517658
-1.3,70,172.687722
-3.5,82,172.889786
-20.5,72,174.93789
21.8,49,175.054951
9.1,68,175.219002
5.1,86,175.428063
10.5,54,177.460418
25.1,52,177.588465
-146.8,296,181.27717
-31.1,118,184.51622
13.3,36,184.602258
-4.9,96,184.828317
-6.1,93,185.050378
-17.7,113,187.521417
25.9,47,187.635947
13.4,63,187.784508
30.3,21,187.834511
0.3,81,189.963472
-18.7,114,190.235055
24.1,46,190.370114
-2.7,75,192.762814
27.2,45,192.86938
-3.7,60,193.012921
-7.3,83,193.210974
17.1,53,195.093858
-5.5,68,195.256403
-28.3,102,195.496139
32.8,38,195.589677
24.3,43,195.695185
6.1,71,197.906244
-2.3,85,198.109603
28.7,40,198.204134
5.1,72,200.239955
16.5,48,200.353469
24.5,40,200.446539
-0.3,76,200.655834
2.4,81,200.851061
24.5,47,202.821495
8.1,69,202.987544
31.6,35,203.076069
29.3,38,203.176141
28.9,37,203.267156
25.9,40,204.908943
-66.5,166,205.303587
31.5,40,205.400098
-26.7,108,208.996207
24.7,44,209.101296
17.9,48,209.215831
20.8,50,209.336343
-2.7,59,211.057172
27.3,47,211.169703
19.0,56,211.305744
16.5,48,211.444731
-68.7,192,213.844531
14.9,51,213.963909
32.5,32,214.040438
-179.7,373,217.295006
-9.2,87,217.492056
24.7,44,217.59158
7.0,68,217.742633
-53.2,127,219.977599
-34.4,88,220.188714
-0.7,75,222.720595
26.3,41,222.816124
1.1,83,223.014735
11.9,68,223.178265
41.5,23,223.233312
11.1,52,225.268044
-39.3,70,225.436283
37.7,24,225.496355
22.9,50,225.618444
-171.7,314,228.247389
-64.5,157,232.706721
16.7,52,232.828788
-41.7,144,236.000905
16.1,61,236.145434
17.7,35,236.229964
-9.1,96,238.414459
30.7,31,238.489463
-5.3,95,238.726756
9.7,66,238.882824
29.1,34,238.96434
26.7,42,241.150826
-6.3,96,241.377642
11.2,61,241.5233
24.7,44,241.629354
-104.7,208,244.150965
4.6,76,244.336013
17.5,38,247.554248
32.7,29,247.621289
-15.3,98,247.852884
10.3,64,248.005503
10.5,68,250.229277
22.2,50,250.353806
-24.3,121,250.660398
13.7,55,253.351992
23.7,38,253.442046
12.5,73,253.615614
26.3,55,253.748144
23.4,46,253.859475
-65.5,154,255.983385
27.7,41,256.083434
19.4,64,256.238741
-39.1,115,258.909472
20.3,54,259.038992
1.0,81,259.233053
-37.4,146,261.448684
3.3,69,261.616986
0.1,63,261.766518
7.2,86,264.157639
10.3,57,264.293177
24.2,48,264.406999
13.2,73,264.579514
28.8,42,266.429711
24.2,48,266.546248
28.3,39,266.641826
-58.3,155,269.812022
16.3,51,269.93363
34.9,31,270.00564
-11.1,105,270.254219
33.1,30,270.326953
-6.5,83,272.71515
33.9,32,272.791149
-1.0,76,272.972209
23.3,44,273.076898
16.5,55,274.897047
27.3,40,274.993078
22.7,30,275.06461
6.7,83,275.262671
10.4,59,275.406211
2.9,68,277.452124
13.7,62,277.598664
10.6,70,277.767715
-121.6,266,280.301203
3.9,76,280.484249
-13.1,100,284.052795
30.3,37,284.143327
-251.5,283,287.298452
8.5,63,287.457538
-31.3,135,290.725125
-3.3,100,290.966466
-0.7,82,293.497851
33.9,32,293.58492
24.0,44,293.691451
21.5,43,293.79298
18.3,63,293.943042
9.8,61,295.572664
29.1,41,295.671196
28.3,39,295.762726
-133.7,153,296.131361
-51.0,161,299.424412
12.9,60,299.583769
9.9,63,302.724961
21.2,58,302.861496
8.3,66,303.019034
19.1,51,303.141344
28.5,36,303.225876
33.7,28,304.871234
9.5,62,305.019401
33.5,31,305.095932
15.3,66,305.255993
37.9,28,305.323002
19.0,56,305.457552
28.1,42,307.18031
16.5,48,307.296359
26.7,42,307.398876
-13.1,100,307.64153
4.3,77,310.012915
35.9,30,310.087438
21.9,44,310.196962
10.7,58,310.348004
