#{"t_start": 1720055942.0686111, "env_id": "ModuleMagicTowerEnv_6x6"}
r,l,t
14.7,21,0.322633
22.7,13,0.44668
23.7,12,0.559732
27.7,8,0.647821
-8.3,24,0.876918
20.7,15,1.017086
0.7,15,1.159914
-0.3,16,1.321009
24.7,11,1.428057
-4.3,20,1.622116
-16.3,32,1.935597
20.7,15,2.076695
-7.3,23,2.292881
18.7,17,2.452111
-29.3,45,2.874508
15.7,20,3.061682
17.7,18,3.230794
26.7,9,3.315817
-1.3,37,3.661071
-4.3,20,3.849429
12.7,23,4.065519
0.7,15,4.206618
-7.3,23,4.423698
-1.3,17,4.582824
7.7,8,4.657891
4.7,11,4.76091
16.7,19,4.938946
27.7,8,5.013997
-2.3,18,5.184572
22.7,13,5.306086
17.7,18,5.474504
26.7,9,5.561555
2.7,13,5.688643
1.7,14,5.833695
7.7,8,5.917721
5.7,10,6.023842
23.7,12,6.149951
-1.3,17,6.331513
-26.3,42,6.752273
13.7,22,6.974369
1.7,14,7.112563
1.7,14,7.249731
5.7,10,7.351901
20.7,15,7.503064
18.7,17,7.673392
22.7,13,7.807637
-3.3,39,8.203426
-15.3,31,8.521834
-1.3,17,8.699539
24.7,11,8.813056
17.7,18,9.000094
10.7,25,9.257161
27.7,8,9.34137
14.7,21,9.558919
26.7,9,9.653438
9.7,26,9.921474
-15.3,31,10.251034
3.7,12,10.379063
19.7,16,10.544587
-30.3,66,11.232397
5.7,10,11.336914
24.7,11,11.453951
7.7,8,11.541955
9.7,26,11.812505
1.7,14,11.969078
7.7,8,12.053769
23.7,12,12.183288
-5.3,21,12.408848
21.7,14,12.556962
14.7,21,12.779098
26.7,9,12.874177
6.7,9,12.967227
-29.3,45,13.440653
-13.3,29,13.748323
-0.3,16,13.931357
22.7,13,14.077391
16.7,19,14.277428
25.7,10,14.383946
25.7,10,14.488465
23.7,12,14.615984
21.7,14,14.779205
3.7,12,14.928723
-20.3,36,15.308798
6.7,9,15.404317
16.7,19,15.605352
-0.3,36,15.985426
16.7,19,16.179637
-3.3,19,16.380673
22.7,13,16.513192
8.7,27,16.797747
-12.3,28,17.091935
5.7,10,17.198453
26.7,9,17.291972
2.7,13,17.42949
-2.3,18,17.621709
-28.3,64,18.343902
7.7,28,18.670343
-26.3,42,19.123185
-0.3,36,19.494806
2.7,13,19.630335
-36.8,113,21.027035
17.9,25,21.332245
-18.1,97,22.50989
-48.4,121,26.543186
22.1,30,26.888253
-75.9,191,31.844872
-157.7,381,39.633191
12.4,64,40.472557
-4.3,38,44.496101
-147.1,350,52.710073
-95.0,191,57.867496
-7.6,120,59.255921
-4.5,80,62.757739
-208.1,393,71.196171
-73.5,136,75.875836
-147.2,382,84.438801
-4.2,104,85.663095
-218.4,417,97.823146
-1.8,60,98.515932
29.1,61,102.384329
-43.1,79,103.276953
-118.8,231,108.971365
5.4,152,110.740918
-26.0,124,115.336131
-1.7,108,116.589051
-113.6,287,122.352545
14.4,62,127.394295
-5.6,53,128.000376
3.0,39,128.449103
-4.7,129,132.465018
-24.6,144,134.119944
33.4,34,134.518016
-9.6,84,138.286238
-37.6,130,139.773094
11.2,29,140.101638
-136.1,289,146.127057
-2.4,57,150.428273
29.4,29,150.757981
15.0,18,150.965616
13.8,21,151.206157
18.6,18,151.414111
13.8,21,151.654137
-19.0,124,153.087515
39.5,38,156.265777
3.4,73,157.10091
-111.6,303,163.704044
-15.6,101,164.887675
36.4,13,165.040702
37.4,12,168.153573
15.4,61,168.846559
11.4,27,169.156098
-170.5,462,177.92824
9.0,33,178.307839
-10.9,99,179.455877
-452.6,752,190.937557
22.8,41,191.428396
23.0,30,191.786299
35.8,19,192.016339
6.2,34,195.852355
32.2,28,196.17271
2.5,15,196.345505
28.8,35,196.746464
28.6,37,197.176173
16.9,37,197.596739
-9.3,130,200.745298
-12.4,85,201.737561
-10.8,60,202.448563
-11.2,73,205.255346
33.6,23,205.517381
-1.4,94,206.579528
-40.0,127,210.577796
18.6,56,211.203125
-7.0,67,211.999994
7.0,35,212.409073
16.4,22,212.662193
2.6,34,213.058569
-5.3,117,216.459636
10.6,26,216.733606
-14.0,74,217.528828
36.1,54,218.217933
23.9,68,220.96948
31.6,34,221.333051
-0.7,80,222.225646
26.2,43,222.733531
12.1,105,225.711099
8.3,80,226.637001
-17.0,77,227.545433
-38.1,79,230.348899
34.0,28,230.669456
-62.6,182,232.794563
13.4,34,236.565167
-10.7,39,237.00775
16.6,67,237.77249
12.8,22,238.033541
15.8,57,238.704198
-5.6,100,241.511331
24.0,47,242.051698
-39.6,123,243.491111
29.2,31,243.857719
7.8,36,246.862853
22.8,50,247.433892
34.4,15,247.605006
20.0,51,248.186389
-28.4,157,252.234314
-38.4,62,252.93577
-578.5,767,265.301273
27.5,21,265.537902
-2.1,112,266.848518
28.4,30,269.780536
33.4,25,270.065158
14.0,66,270.820626
17.4,12,270.957675
-32.4,87,271.975111
26.3,44,272.496249
12.0,21,274.654894
34.2,17,274.848492
-22.8,99,275.972948
25.8,38,276.419236
5.4,33,276.808549
15.2,16,276.997732
-49.8,155,281.014491
30.4,28,281.337989
31.8,23,281.611007
36.2,15,281.787061
35.2,16,281.975622
15.4,14,282.144679
12.6,24,282.431784
9.1,99,285.844894
21.9,61,286.548197
9.0,42,287.041435
6.6,68,287.841063
15.0,18,289.921566
-18.3,139,291.527344
-609.6,1000,306.786427
9.4,29,307.112684
14.0,57,307.785834
15.0,56,311.178529
12.8,31,311.528772
27.6,29,311.858764
25.8,56,312.496578
12.2,28,312.820388
-37.9,169,316.758989
-42.9,158,318.602874
37.0,16,318.789959
-225.8,329,326.014674
-13.1,36,326.431895
33.8,21,326.669608
-3.4,58,327.341431
7.6,38,327.788672
14.0,19,328.015275
12.0,21,329.847863
-224.8,391,338.478977
-5.9,85,339.478962
-59.4,137,343.859339
17.0,63,344.588948
32.0,21,344.837572
34.2,17,345.037973
10.6,64,348.058647
35.4,14,348.219179
-17.1,62,348.92376
-52.6,228,354.863123
-0.4,55,355.488448
25.6,49,356.074821
2.4,36,356.496512
13.0,29,356.838416
14.2,17,357.039451
-33.4,106,359.744576
26.4,32,360.114432
4.0,67,360.906828
22.9,20,361.144484
13.6,23,361.419558
11.8,23,363.785358
-17.7,142,365.403731
-1.6,40,365.876432
10.0,32,366.263372
9.9,91,370.182362
7.0,35,370.577209
-3.6,60,371.268698
-20.4,75,372.142363
13.4,72,374.748132
17.4,12,374.884957
34.0,19,375.100826
-0.6,48,375.664342
-27.8,95,376.782884
37.0,25,377.081535
-16.0,105,380.290925
32.2,19,380.505025
13.0,20,380.737491
-101.5,231,386.048005
9.8,25,386.33858
-19.6,105,387.57078
26.0,36,390.416153
-7.4,71,391.217558
2.6,34,391.604765
7.8,27,391.913692
23.3,56,392.57004
11.2,29,392.911173
-16.2,78,395.458129
-16.6,113,396.778198
1.5,85,397.778175
-11.1,112,401.486609
38.3,41,401.955642
16.0,55,402.601428
-55.7,169,406.607079
13.6,23,406.87088
13.6,23,407.140427
15.4,23,407.409064
6.6,30,407.760747
-269.1,418,415.096296
-16.0,78,415.996303
33.0,20,416.235562
-287.5,413,423.798791
23.5,63,424.524079
-111.6,269,430.003719
26.5,78,434.732408
2.8,70,435.551113
-52.3,214,440.903229
21.0,59,441.575659
-35.4,108,442.831314
22.4,45,445.66008
25.4,33,446.031186
14.0,28,446.347399
-25.1,106,447.573559
-6.2,50,448.157243
33.4,16,448.346486
14.8,20,448.581641
14.8,20,451.096874
19.7,36,451.503361
3.9,88,452.495545
29.8,25,452.788964
46.3,24,453.071151
-22.1,45,453.601525
-50.0,182,457.603921
-30.8,127,462.407554
6.4,41,462.873245
25.7,68,463.646513
12.9,97,464.783718
-24.2,86,467.932307
-98.6,337,475.561602
3.4,82,476.524687
21.0,41,479.852259
33.6,23,480.111902
-56.9,215,482.614792
2.3,86,487.340974
10.3,58,488.001305
12.7,99,489.15601
-25.2,87,492.396
-0.4,66,493.152472
-26.9,115,494.503887
-8.2,90,497.839195
33.8,21,498.079402
8.6,66,498.847835
-172.6,454,506.364591
9.0,33,506.740952
2.4,45,507.271413
-25.8,75,510.763331
-14.6,82,511.684776
-17.4,72,512.512381
28.6,37,512.94393
-2.2,55,515.514482
-89.6,200,517.821457
30.2,39,518.282977
13.0,98,522.968435
16.8,47,523.512481
9.6,27,523.821589
1.0,79,524.740601
11.6,54,527.327281
17.8,55,527.946424
30.6,26,528.24085
6.8,37,528.67407
-11.2,64,529.416728
30.3,49,531.547985
2.0,69,532.331203
-338.8,559,542.386456
-1.5,57,543.038891
10.8,24,543.318143
5.0,37,543.754755
3.0,68,547.014838
-3.4,69,547.795565
29.8,25,548.079817
10.1,60,548.773595
12.8,22,549.031712
-534.0,954,562.420216
-7.6,64,563.183593
32.2,19,563.407137
15.2,45,567.03349
-13.2,93,568.085717
10.2,39,568.529958
15.0,18,568.741063
-128.1,196,573.004273
-249.1,382,580.343826
32.6,24,584.647611
-20.6,86,585.61736
11.7,53,586.235942
10.6,26,586.539078
-48.4,177,590.525749
0.6,83,591.480747
-7.6,64,592.229872
14.2,46,594.979896
3.6,33,595.353304
8.0,34,595.754065
24.9,20,595.981148
10.6,64,596.728619
30.2,21,596.973726
34.1,38,597.416132
-32.2,85,599.929966
10.2,30,600.275183
-492.7,856,613.388427
-18.1,126,618.590914
8.0,34,618.979087
-44.5,156,623.777308
-26.6,128,625.226402
17.6,19,625.445542
30.4,28,625.771197
5.8,67,626.552535
-2.4,48,629.66922
24.2,36,630.074636
-21.3,46,630.596999
26.6,48,631.149383
27.0,35,631.55863
-70.4,341,637.084386
18.4,49,637.639006
13.8,21,637.876097
20.3,30,638.216114
-25.8,111,639.508671
8.0,25,642.062221
23.0,30,642.400463
22.5,26,642.693667
15.8,19,642.910048
33.6,23,643.17044
17.9,36,643.587834
13.8,30,643.944255
14.8,20,644.178153
2.8,50,644.764361
9.2,31,646.402168
-179.4,333,654.543577
-18.3,130,656.052251
8.5,87,659.709722
24.9,20,659.936996
-19.1,147,661.641645
0.5,84,665.425821
34.8,20,665.650983
-507.4,841,679.412057
14.6,22,679.670204
24.2,36,680.094402
39.5,38,680.540606
4.8,48,684.160636
9.7,75,685.009426
-30.2,101,686.174219
-1.7,61,689.138785
9.1,52,689.721245
14.2,55,690.344975
12.6,62,691.072937
13.0,20,691.306568
-96.7,397,697.63307
-20.8,79,698.529691
33.2,18,698.740974
-16.8,84,701.756768
-2.4,48,702.296366
29.0,33,702.671707
6.6,30,703.02009
11.1,88,704.041923
10.0,32,704.415379
25.0,37,706.734175
-11.5,321,714.418106
27.0,44,714.916643
-28.0,34,715.306895
34.1,106,718.667845
6.4,32,719.028441
30.0,23,719.289611
28.2,32,719.650752
28.0,34,720.037977
7.3,52,720.642452
0.3,48,721.204126
-52.4,197,724.801295
-126.0,321,731.945251
-4.7,80,737.016137
11.2,29,737.344558
-8.3,120,738.730237
5.0,37,739.16379
-0.3,103,742.506895
-55.0,189,747.760344
11.4,18,747.964405
12.2,28,748.279685
-39.1,183,753.883023
-178.4,361,762.190684
7.4,31,762.5431
-252.4,444,770.527916
-111.8,242,776.394493
10.6,64,777.124402
15.2,54,777.774408
29.4,47,778.331515
23.4,44,780.413181
-78.6,104,781.603124
15.4,23,781.872329
-26.8,76,782.761982
18.7,66,785.777443
-44.8,139,787.359626
8.8,26,787.665056
8.0,34,788.061569
-33.0,102,791.805465
-65.4,89,792.822281
4.9,58,793.500787
29.0,33,793.889114
-17.7,113,797.166401
9.2,31,797.532563
32.6,33,797.919307
13.6,23,798.190928
-4.0,55,798.838224
-42.5,390,805.808544
1.7,50,806.378156
4.6,32,806.754345
-5.4,51,809.822908
-76.0,255,817.127773
35.8,19,817.342071
-10.1,156,819.12724
-71.5,134,823.623798
4.4,43,824.108156
-23.9,112,825.418774
-574.8,1000,840.047324
33.3,46,840.588303
31.2,29,844.355651
-0.2,53,844.951359
-109.6,436,853.354731
4.6,79,858.572753
15.2,16,858.757166
15.0,27,859.063702
-1.3,122,860.484547
32.4,26,863.372715
4.4,34,863.754066
-8.6,56,864.381689
32.4,26,864.677173
-4.8,63,865.396044
31.8,23,865.664447
-76.3,245,869.983924
-7.8,48,870.546289
15.6,21,874.309283
10.8,24,874.57882
10.0,32,874.937783
-7.1,70,875.729519
-27.6,129,879.650132
-61.7,175,881.657609
27.6,47,882.20468
-171.6,444,890.925577
-10.2,198,896.21387
-5.0,47,896.748595
-16.7,238,901.930018
8.4,68,902.722664
-61.6,78,906.121659
15.0,18,906.324551
-5.5,128,907.771113
12.2,19,907.995157
8.6,37,908.425522
13.8,30,908.775016
13.0,20,911.478616
40.9,33,911.84809
-90.3,227,917.797327
36.6,20,918.023565
36.0,17,918.21664
-1.3,66,918.961631
0.8,43,919.453278
9.2,22,919.710947
-21.4,67,920.510582
31.8,23,922.410786
31.0,22,922.657089
-1.0,52,923.241525
31.8,23,923.504823
31.4,36,923.921244
30.8,24,924.201648
34.0,28,924.531076
2.0,40,924.998328
31.0,31,926.639301
36.4,13,926.784613
16.6,20,927.012661
15.4,52,927.606331
16.7,48,928.167796
21.0,41,928.647965
36.4,13,928.799107
8.2,61,930.821239
-191.8,511,941.186077
-19.0,79,942.077534
34.6,22,942.326557
24.8,39,942.762488
12.8,60,943.467223
-13.4,86,946.246935
-78.9,219,952.568231
3.4,44,953.063481
11.6,25,953.346128
21.6,44,953.8462
38.4,11,953.972235
-115.8,336,960.325777
34.4,15,960.501939
33.8,21,960.747015
-23.2,85,965.265242
28.0,34,965.647401
-1.4,76,966.521601
-44.5,212,970.714194
18.2,13,970.866323
-25.6,172,975.832818
16.8,47,976.361677
-125.3,278,982.164567
15.4,14,982.32759
6.7,87,983.363488
-42.5,163,988.074136
34.8,20,988.304163
34.6,22,988.560464
31.0,22,988.816631
31.8,23,989.089741
-41.6,145,993.586668
8.2,32,993.953569
35.6,21,994.196667
-45.3,133,998.243887
8.7,65,998.975387
15.2,16,999.156734
9.8,34,999.54692
33.8,30,999.897042
-9.8,68,1002.267098
11.6,25,1002.55072
38.0,15,1002.720958
-29.2,91,1003.77648
16.0,17,1003.976067
32.2,28,1004.307875
2.4,45,1004.837525
4.4,72,1007.780246
16.0,17,1007.981831
-167.3,354,1015.652296
30.4,19,1015.872712
8.2,32,1016.249202
-70.4,103,1020.598441
-33.8,110,1021.853914
-7.4,116,1025.538803
36.2,15,1025.707898
32.4,26,1025.999374
13.6,23,1026.262434
7.4,31,1026.629838
0.6,45,1027.150014
-11.2,55,1027.793934
7.8,27,1028.114523
-70.0,99,1030.641737
13.4,25,1030.925544
3.0,48,1031.479051
28.6,28,1031.810134
27.0,35,1032.223352
5.8,38,1034.686498
12.8,22,1034.935811
9.6,27,1035.236975
14.2,17,1035.43022
28.6,28,1035.744325
24.8,39,1036.183973
32.4,26,1036.488842
32.4,26,1036.792077
23.0,39,1037.253589
29.2,31,1038.681641
33.0,20,1038.906258
17.4,12,1039.041771
20.4,47,1039.569128
6.2,34,1039.952775
19.2,41,1040.425377
7.2,33,1040.815672
9.4,38,1041.265313
29.6,27,1042.781989
37.4,12,1042.920048
15.3,44,1043.430614
36.8,18,1043.657829
-0.6,66,1044.415606
3.1,105,1045.644938
38.4,11,1048.098903
6.5,51,1048.673533
15.4,14,1048.833278
4.9,285,1055.4785
-29.7,136,1057.048797
15.4,14,1057.212983
34.6,22,1060.238057
18.4,11,1060.364139
34.6,22,1060.612336
17.4,21,1060.847624
36.8,18,1061.049654
31.1,45,1061.557491
-51.1,150,1065.813233
-1.0,52,1066.433782
11.8,23,1066.695917
5.1,74,1067.549186
-215.6,299,1072.854732
-0.0,71,1077.285145
30.2,30,1077.62339
-19.8,105,1078.824885
-70.7,126,1082.515711
-12.0,63,1083.226106
30.8,24,1083.499184
35.2,16,1083.681308
32.8,22,1083.939088
35.6,21,1084.184811
36.4,13,1084.336953
30.4,28,1084.663102
-14.4,69,1086.904132
-32.2,150,1088.634514
11.3,48,1089.203198
14.4,62,1092.989665
-9.4,64,1093.717961
12.2,28,1094.037307
1.2,68,1094.825864
4.2,56,1097.10423
35.2,16,1097.291264
14.8,51,1097.873684
-11.6,68,1098.651112
-4.0,55,1099.291584
-8.8,58,1099.969482
10.6,26,1101.874386
8.8,44,1102.372583
21.6,44,1102.870153
-130.1,292,1109.046966
31.6,25,1109.346047
15.1,75,1110.220585
19.4,48,1113.766111
-17.0,124,1115.176402
22.6,34,1115.571595
10.4,28,1115.898783
12.2,28,1116.226067
17.2,14,1118.730185
35.4,23,1118.991281
36.2,15,1119.160321
-5.0,56,1119.785029
34.0,19,1120.000827
34.0,19,1120.222886
35.0,18,1120.440071
10.6,26,1120.747638
11.7,91,1123.462412
31.2,20,1123.689971
36.0,17,1123.882366
17.4,41,1124.348828
13.2,56,1124.991506
-2.6,68,1125.793083
9.2,22,1126.07917
-60.1,137,1129.340389
11.2,20,1129.574718
29.2,31,1129.939334
-292.8,801,1142.376973
31.4,27,1142.71052
13.2,27,1146.489562
9.4,29,1146.814945
-23.4,116,1148.140584
1.2,48,1148.703265
6.8,120,1152.331072
7.8,65,1153.073809
6.2,34,1153.475503
6.6,30,1153.829616
30.4,28,1154.157574
25.6,31,1154.519642
-87.9,230,1158.760395
-75.8,226,1165.571313
34.6,22,1165.830622
12.6,33,1166.215322
25.2,35,1170.026753
50.5,32,1170.388086
23.0,39,1170.828144
15.4,14,1170.987251
2.0,40,1171.444754
-52.4,188,1175.684031
28.0,34,1176.077397
3.6,42,1176.550796
-14.8,64,1177.303193
28.6,28,1177.632568
32.6,24,1179.712357
13.0,20,1179.938387
34.8,20,1180.165612
7.6,29,1180.493768
-21.0,54,1181.11158
26.9,65,1181.870015
7.2,33,1182.256371
13.4,16,1183.948938
-2.8,52,1184.536453
38.4,11,1184.66057
3.6,33,1185.030616
14.8,20,1185.257192
-335.6,671,1196.378636
2.1,106,1197.563351
23.1,58,1198.238081
10.2,30,1198.590799
14.0,28,1198.920353
9.1,90,1202.116252
0.4,47,1202.651248
36.2,24,1202.940603
-110.4,143,1206.707084
12.2,28,1207.020275
12.0,21,1207.257809
-216.5,337,1214.42582
-11.1,34,1214.824104
-6.2,104,1219.092149
-2.5,116,1220.419243
8.8,26,1220.721751
12.8,60,1221.422251
25.4,33,1224.092021
-36.5,117,1225.428456
1.8,51,1226.021798
-18.7,105,1229.781315
27.2,33,1230.152315
-33.9,82,1231.088385
-6.4,142,1234.879084
-29.4,167,1236.789693
4.8,39,1237.246282
-19.6,150,1241.987476
-10.6,105,1243.22454
14.0,28,1246.400404
-60.3,175,1248.415994
35.4,14,1248.579299
30.4,28,1248.908452
4.8,39,1252.609841
13.0,29,1252.937159
9.6,27,1253.242302
-0.4,46,1253.7616
27.8,36,1254.18092
8.8,35,1254.590403
26.0,36,1255.010842
-78.0,363,1260.578723
34.2,26,1260.869937
-60.7,246,1266.519014
-235.6,717,1278.615401
38.4,11,1278.738435
-186.3,346,1286.17592
1.4,46,1286.71108
-9.6,57,1287.380491
17.8,37,1290.794665
6.2,25,1291.07729
22.7,53,1291.679137
7.8,36,1292.091328
37.0,16,1292.278486
-3.8,44,1292.79389
32.4,26,1293.099337
28.2,32,1294.826731
7.6,29,1295.157686
-341.7,1000,1310.833661
-6.2,97,1311.926747
-16.4,197,1317.130012
9.0,62,1317.836174
-11.4,66,1318.599333
-19.2,72,1319.441751
22.8,41,1321.648388
4.5,53,1322.246439
36.0,17,1322.43804
-33.8,34,1322.820331
19.2,50,1323.405223
-29.3,72,1325.861464
16.4,22,1326.111713
5.8,67,1326.869524
-79.3,185,1332.118434
11.4,27,1332.430989
20.8,43,1332.92674
22.2,47,1333.465851
33.0,29,1333.801791
13.2,18,1334.012821
13.2,18,1334.221426
