#{"t_start": 1718602578.9873486, "env_id": "ModuleMagicTowerEnv_6x6"}
r,l,t
-1064.1,1000,9.905305
-436.6,1000,20.273737
-968.7,1000,30.680088
8.2,64,31.321226
0.7,51,31.836961
-984.9,1000,42.389657
5.8,29,42.687248
-959.7,1000,53.238502
-968.7,1000,63.775429
-474.6,1000,74.126759
-29.7,27,74.497334
-4.3,29,74.863424
-52.5,153,76.709702
-21.7,64,80.768315
-10.6,101,81.904571
-205.1,1000,97.283467
-26.4,364,104.748791
26.7,49,105.352437
-25.5,70,110.175195
-180.6,1000,126.228112
-200.6,1000,142.787844
-155.4,1000,159.241988
-168.2,1000,175.873059
-17.4,68,180.687088
-26.0,23,180.95028
7.3,12,181.085478
3.0,62,181.817914
3.6,62,182.538766
51.1,91,185.232934
-166.2,1000,201.895306
3.6,47,202.430614
-228.8,1000,218.566177
-126.4,842,232.771948
-215.0,1000,248.392529
-186.9,1000,264.349953
19.3,29,264.691506
37.2,19,264.921595
13.3,35,265.335004
-3.3,19,265.559587
-123.9,529,274.109286
-3.1,26,274.413378
1.9,52,275.033913
7.5,10,278.242519
23.4,127,279.68531
-186.0,1000,295.110373
-29.3,54,295.752058
-20.3,5,295.813059
5.2,40,296.328328
-167.1,1000,311.260692
20.9,22,311.521239
-209.6,1000,327.891246
0.7,15,328.069587
-23.5,10,328.188119
21.3,18,328.397695
-173.6,1000,344.234695
-197.9,1000,360.150389
-174.5,1000,375.688522
-11.7,22,375.9603
-208.7,1000,391.331488
-33.9,113,395.636195
-20.9,51,396.22942
0.5,26,396.52083
-194.1,1000,412.124
-250.1,1000,428.00653
2.7,22,428.250702
0.1,21,428.487737
2.7,22,428.736159
2.3,17,428.9272
-180.0,919,443.253868
-189.8,1000,459.732614
24.3,152,466.162827
19.0,43,466.677094
-215.0,1000,481.818471
-178.8,1000,497.425187
-186.0,1000,512.704105
14.9,37,513.1224
32.6,40,513.585896
-16.9,47,514.138238
8.1,111,517.935429
-165.3,1000,533.64997
11.1,39,534.090253
-153.6,1000,549.562264
3.5,14,549.722789
14.7,147,551.468465
15.6,133,555.94656
-2.9,24,556.226232
