#{"t_start": 1719995358.821123, "env_id": "KeyModuleMagicTowerEnv_6x6"}
r,l,t
36.0,6,1.256483
-55.0,56,1.419595
36.0,6,1.437726
17.0,17,1.486726
36.0,6,1.505728
-32.0,45,1.632793
36.0,6,1.650308
22.0,18,1.701305
36.0,6,1.72031
13.0,19,1.78282
36.0,6,1.80582
-21.0,39,1.940924
36.0,6,1.958925
-10.0,34,2.054945
36.0,6,2.073943
21.0,18,2.125947
36.0,6,2.142972
14.0,22,2.204974
36.0,6,2.223977
2.0,28,2.30222
36.0,6,2.31922
13.0,19,2.372285
36.0,6,2.389282
-25.0,38,2.494632
36.0,6,2.512632
-5.0,32,2.602661
36.0,6,2.61866
31.0,10,2.647869
36.0,6,2.665869
11.0,20,2.721874
36.0,6,2.740006
9.0,24,2.817005
36.0,6,2.836015
25.0,13,2.876172
36.0,6,2.896172
20.0,20,2.955266
36.0,6,2.973265
3.0,24,3.046294
36.0,6,3.06429
21.0,15,3.107292
36.0,6,3.124294
26.0,16,3.172448
36.0,6,3.190449
2.0,28,3.267511
36.0,6,3.287511
4.0,28,3.373536
36.0,6,3.391532
17.0,21,3.4506
36.0,6,3.4686
15.0,18,3.527604
36.0,6,3.544638
21.0,19,3.599638
36.0,6,3.615638
22.0,18,3.667671
36.0,6,3.687672
25.0,16,3.732677
36.0,6,3.752774
16.0,21,3.812955
36.0,6,3.82996
-21.0,36,3.937135
36.0,6,3.953169
23.0,14,4.009169
36.0,6,4.026174
10.0,24,4.094219
36.0,6,4.113218
23.0,14,4.155241
36.0,6,4.173239
-7.0,32,4.264264
36.0,6,4.281263
17.0,20,4.346325
36.0,6,4.363326
-1.0,26,4.43433
36.0,6,4.45236
-6.0,32,4.543401
36.0,6,4.563403
5.0,23,4.641443
36.0,6,4.658442
-11.0,34,4.753707
36.0,6,4.773709
17.0,17,4.822718
36.0,6,4.840757
-3.0,30,4.924761
36.0,6,4.942872
7.0,26,5.015873
36.0,6,5.033879
-67.0,63,5.276141
36.0,6,5.294143
22.0,18,5.345162
36.0,6,5.362161
11.0,20,5.431165
36.0,6,5.448197
18.0,20,5.508198
34.0,7,5.530205
17.0,21,5.590346
36.0,6,5.609349
-35.0,43,5.734811
36.0,6,5.753326
5.0,27,5.831336
36.0,6,5.848378
-23.0,37,5.952417
