#{"t_start": 1717812315.207674, "env_id": "KeyModuleMagicTowerEnv_6x6"}
r,l,t
-1000.0,1000,2.302039
-1000.0,1000,3.650257
19.1,5,3.657257
-1000.0,1000,5.007137
-1000.0,1000,6.35623
19.1,5,6.36323
-1000.0,1000,7.709568
-1000.0,1000,9.138507
19.1,5,9.146507
-1000.0,1000,10.610389
-4.7,40,10.758313
-173.8,282,15.467751
-6.5,46,15.578265
-219.5,305,19.220276
-84.4,182,22.778968
-36.3,94,23.006318
-45.9,112,25.468524
-77.8,144,25.823475
-190.9,202,28.970381
-8.7,51,29.094896
-27.8,75,29.278284
-174.1,284,32.670348
7.5,18,32.714351
-147.0,224,36.636834
-20.9,87,36.847225
-65.1,148,37.204784
-12.0,69,40.409112
-562.7,492,45.095315
-4.5,44,45.20046
-181.6,313,49.201866
-28.3,86,49.410902
-41.5,102,52.467914
-33.8,95,52.695211
-70.1,89,52.909241
5.5,27,55.160778
-156.4,200,55.642268
-83.7,102,59.60163
18.1,6,59.615629
-7.0,43,59.718702
-17.3,61,59.887991
7.5,25,59.950065
-220.4,183,62.136768
-399.3,396,66.174672
11.5,14,66.207842
-165.8,270,70.438444
-115.9,206,70.966645
-109.7,227,75.127762
-49.2,109,79.459292
-164.5,247,83.355024
-20.3,71,83.528543
-41.6,107,83.786157
-155.1,228,86.60943
7.5,32,86.685943
-1.0,37,90.744335
-264.9,407,95.773074
10.5,22,95.827074
-7.2,53,99.365072
2.7,34,99.447082
1.3,34,99.531126
-218.8,205,103.324166
-11.9,64,103.481199
-18.3,69,103.675305
-22.2,82,103.87039
5.9,28,105.788098
17.1,7,105.805098
-270.6,376,110.707689
-26.7,90,110.938751
10.3,18,110.983853
-7.2,46,113.602717
-7.1,48,113.720246
9.9,17,113.762399
-60.2,134,114.090872
-2.9,48,116.780804
-23.5,63,116.969872
-140.0,77,117.158393
-250.5,161,119.610607
13.5,12,119.640607
-120.6,213,123.192556
-1.5,34,123.274067
10.5,22,123.32923
-125.8,223,126.779661
-65.1,155,127.152802
-506.9,470,131.432901
-125.8,117,135.074972
-3.5,43,135.179991
18.1,6,135.194032
-4.0,47,135.308119
-289.1,451,139.052552
3.1,42,139.148066
-28.4,77,139.323747
-18.3,62,139.463859
15.1,9,141.211488
-58.6,99,141.453567
-2.9,48,141.592129
6.1,18,141.636129
-13.0,63,141.791715
-1.9,40,144.000376
17.1,7,144.016376
5.2,28,144.085381
-21.7,64,144.239758
15.5,10,144.264759
6.8,25,144.325808
-118.3,152,146.792497
18.1,6,146.806498
-50.6,82,147.009331
-27.9,87,147.22141
18.5,7,147.237411
-29.8,91,149.451846
-17.9,56,149.593911
15.1,9,149.616911
11.6,16,149.654911
-0.9,39,149.749953
12.1,12,149.777956
-5.2,37,149.86812
-3.9,42,151.40973
15.1,9,151.430729
-13.2,52,151.556776
-2.1,43,151.661044
14.1,10,151.687048
-81.2,176,154.468593
