#{"t_start": 1720143818.8607912, "env_id": "OldModuleMagicTowerEnv_6x6"}
r,l,t
-1000.0,1000,9.625992
-1000.0,1000,19.938209
-1000.0,1000,30.54111
-999.1,1000,41.163416
-1000.0,1000,51.801721
-1000.0,1000,62.441057
-999.1,1000,73.004821
-999.1,1000,83.629706
-999.1,1000,94.256203
-1000.0,1000,104.906312
-1000.0,1000,115.55077
-999.1,1000,126.179286
-1000.0,1000,136.731806
-1000.0,1000,147.313827
-999.1,1000,157.921645
-1000.0,1000,168.549948
-999.1,1000,179.166105
-999.1,1000,189.80061
-1000.0,1000,200.35136
-999.1,1000,210.973807
-999.1,1000,221.595193
-999.1,1000,232.180952
-1000.0,1000,242.813303
-999.1,1000,253.568165
-1000.0,1000,264.21966
-1000.0,1000,274.807323
-1000.0,1000,285.402668
-999.1,1000,295.997221
-1000.0,1000,306.532642
-1000.0,1000,317.017216
-1000.0,1000,327.558227
-999.1,1000,338.192659
-999.1,1000,348.814039
-998.2,1000,359.424944
-999.1,1000,370.027898
-999.1,1000,380.562144
-1000.0,1000,391.107607
-999.1,1000,401.657115
-1000.0,1000,412.187926
-1000.0,1000,422.787983
-1000.0,1000,433.377789
-999.1,1000,443.927625
-999.1,1000,454.531795
-1000.0,1000,465.161478
-1000.0,1000,475.818311
-999.1,1000,486.413963
-1000.0,1000,496.893706
-1000.0,1000,507.51201
-1000.0,1000,518.113922
-1000.0,1000,528.724664
-1000.0,1000,539.354821
-1000.0,1000,549.935578
-1000.0,1000,560.55202
-1000.0,1000,571.161774
-1000.0,1000,581.789767
-1000.0,1000,592.411837
-999.1,1000,603.036811
-999.1,1000,613.542181
-999.1,1000,624.10628
-999.1,1000,634.688229
-999.1,1000,645.250972
-1000.0,1000,655.805168
-999.1,1000,666.348259
-1000.0,1000,676.91304
-1000.0,1000,687.473016
-1000.0,1000,698.020097
-999.1,1000,708.584031
-1000.0,1000,719.097693
-999.1,1000,729.624072
-999.1,1000,740.20164
-1000.0,1000,750.747741
-1000.0,1000,761.305733
-1000.0,1000,771.875381
-999.1,1000,782.425828
-1000.0,1000,792.97875
-999.1,1000,803.519684
-1000.0,1000,814.054103
-999.1,1000,824.622406
-1000.0,1000,835.192941
-999.1,1000,845.746657
-999.1,1000,856.317773
-999.1,1000,866.886246
-999.1,1000,877.42613
-1000.0,1000,888.025817
-1000.0,1000,898.583735
-999.1,1000,909.147294
-1000.0,1000,919.748333
-999.1,1000,930.31579
-999.1,1000,940.844964
-999.1,1000,951.384289
-1000.0,1000,961.895944
-1000.0,1000,972.449133
-999.1,1000,982.974463
-1000.0,1000,993.51263
-998.2,1000,1004.081749
-999.1,1000,1014.666434
-1000.0,1000,1025.224572
-1000.0,1000,1035.78385
-999.1,1000,1046.341625
-1000.0,1000,1056.862094
-11.7,163,1058.883069
10.5,47,1059.422735
-74.9,264,1065.673263
-37.9,86,1070.264174
25.9,152,1071.917274
-238.2,806,1084.314456
