#{"t_start": 1716843854.2438583, "env_id": "Celx100MagicTowerEnv_with_winRate"}
r,l,t
-99999.0,100000,144.989001
-99999.0,100000,290.789154
-99999.0,100000,436.760015
-99999.0,100000,582.82847
-99999.0,100000,728.769759
-99999.0,100000,874.846942
-99999.0,100000,1020.83024
-99999.0,100000,1166.879039
-99999.0,100000,1312.933111
-99999.0,100000,1459.020423
-99999.0,100000,1605.004629
-99999.0,100000,1751.100536
-99999.0,100000,1897.0679
-99999.0,100000,2043.164316
-99999.0,100000,2189.150686
-99999.0,100000,2335.234969
-99999.0,100000,2481.539075
-99999.0,100000,2627.816984
-99999.0,100000,2773.834884
-99999.0,100000,2919.863549
-99999.0,100000,4229.845926
-99999.0,100000,5539.8792
-99999.0,100000,6843.928519
-99999.0,100000,8158.728195
-99999.0,100000,9478.077376
-99999.0,100000,10779.557239
-99999.0,100000,12093.804613
-99999.0,100000,13425.546827
-99999.0,100000,14737.844054
-99999.0,100000,16057.675452
-99999.0,100000,17393.505748
-99999.0,100000,18701.510396
-99999.0,100000,20018.12754
-99999.0,100000,21339.232481
-99999.0,100000,22646.104354
-99999.0,100000,23963.258595
-99999.0,100000,25289.105262
-99999.0,100000,26594.603997
-99999.0,100000,27909.006283
