#{"t_start": 1716596281.9666286, "env_id": "CurriculumMagicTowerEnv_lv3_with_winRate"}
r,l,t
-1079.8,10000,13.100176
-699.7,10000,26.991727
-699.7,10000,40.702786
-699.7,10000,54.188911
-699.7,10000,67.853754
-1079.8,10000,81.545965
-979.7,10000,95.025526
-799.8,10000,108.478728
-699.7,10000,122.15227
-1079.8,10000,135.713383
-699.7,10000,149.286353
-1079.8,10000,162.738134
-979.7,10000,176.315621
-299.7,10000,189.738093
-1079.8,10000,203.305138
-1079.8,10000,216.995912
-1079.8,10000,230.679419
-979.7,10000,244.355109
-699.7,10000,258.147297
-979.7,10000,271.442141
-1040.2,1437,279.444283
1613.3,174,282.434126
1329.3,124,282.722908
-212.5,351,286.804705
1394.1,64,286.946734
1361.5,489,291.282614
1881.7,292,291.938623
1958.7,223,295.865169
1743.7,177,296.258913
1750.6,306,300.220361
1661.4,1805,310.341596
1332.1,690,314.364499
-845.4,2268,328.675523
1316.2,3477,349.487579
1118.5,2820,365.266776
1320.1,2740,382.62537
-922.8,1140,389.424725
-658.2,310,390.123125
42.0,291,394.017514
1318.0,28,394.080028
-780.7,818,400.296768
1906.5,242,400.841044
-1191.2,6756,440.284112
1023.7,2806,457.968724
1557.7,142,458.289467
1431.8,298,462.377503
1784.3,164,462.748194
1402.2,1088,470.337636
1477.7,840,476.503135
1038.4,349,477.281749
731.5,367,481.460793
1681.9,95,481.672058
589.4,1296,491.403897
1853.9,174,491.798183
1070.3,1554,502.09735
-583.6,864,508.454293
1290.9,211,508.92968
1560.5,1524,519.277855
-647.3,481,522.888818
1513.3,781,528.905234
-949.7,510,532.633917
-799.0,503,536.401962
-603.4,257,536.978591
-852.4,1249,546.804023
-1793.2,7398,588.487252
1970.9,214,591.486012
1322.5,192,591.944822
1817.7,134,592.244364
1355.9,3776,617.042333
1198.0,535,620.664675
-1032.1,129,620.953219
1396.9,2164,634.168099
1096.8,205,634.622731
1452.1,112,638.081118
1742.9,479,641.707026
1592.9,288,642.350618
1139.8,325,646.477708
-713.6,957,652.876307
-1360.1,3895,674.409959
1356.7,141,677.231056
1491.1,1420,684.531806
-645.3,572,688.454751
1557.3,348,691.628396
1482.8,91,691.837038
-703.2,448,696.240512
1643.9,168,699.179486
1746.5,55,699.301711
-512.2,2040,712.459481
1430.9,106,712.706024
-1160.0,1617,723.177176
1647.8,1235,730.092289
-571.3,930,736.416763
1626.3,152,736.755307
-770.3,332,740.935284
1577.9,1450,750.125371
-707.9,288,753.256448
-776.1,468,754.309803
-1016.2,1975,766.459927
-644.3,1455,775.792271
1482.1,498,779.502252
-954.2,450,783.103284
1596.4,654,787.160819
-1224.5,766,793.216227
-620.1,414,796.711453
1405.6,361,797.523131
1418.1,127,801.209402
1132.1,322,801.935823
-1054.8,1597,812.030104
1774.5,580,815.95395
1723.6,676,821.666853
-973.1,451,825.142052
1274.2,91,825.345077
-1001.3,1730,836.003475
1366.5,445,839.506466
1371.6,511,843.251748
-1091.1,1221,850.265825
1959.9,211,853.15909
1160.9,153,853.511302
1712.1,1296,863.183015
1208.7,334,863.93312
-656.1,1394,874.098308
-568.9,708,878.207318
-928.6,3008,895.924361
-739.7,125,898.738642
966.0,487,899.824798
-838.8,2315,914.503839
1421.0,406,917.931453
1471.4,418,921.439312
102.4,254,922.01191
1519.3,919,929.28243
1483.9,403,932.825633
-1547.8,5940,965.917096
1058.4,5546,998.240083
1764.8,64,998.384597
1769.0,122,1002.104542
-465.4,488,1003.19388
-845.4,668,1009.278182
1410.9,306,1009.96278
1040.6,2032,1023.139799
1090.8,1413,1032.342554
1919.3,518,1035.934005
1365.5,59,1036.079027
1868.4,832,1043.202323
1575.3,472,1046.749676
1685.5,353,1047.537489
-579.0,1304,1057.041064
-831.3,320,1060.372598
1358.9,825,1064.772815
-775.4,564,1068.686602
1505.0,67,1068.837282
-1585.4,4377,1095.662573
1629.2,127,1095.94577
-897.6,1390,1105.911856
1405.3,255,1106.493783
1355.5,60,1109.830832
1024.4,1685,1119.62708
1423.2,582,1123.534339
1740.9,216,1124.019544
-1484.0,5953,1159.879252
1427.0,253,1163.068743
-997.3,82,1163.2548
-1243.7,650,1168.010196
1899.9,308,1171.31766
-989.0,607,1175.242361
-734.5,1353,1182.489686
1561.7,494,1186.020447
-865.0,3970,1209.701757
831.4,4308,1235.839445
1356.1,274,1236.458623
1333.9,481,1240.709973
1353.0,288,1243.895943
1616.3,147,1244.227047
-917.8,4993,1274.509643
-1129.4,5313,1304.565779
1199.3,1424,1313.768158
812.5,4528,1340.401811
1380.1,1228,1347.442018
1418.4,3451,1368.249813
948.9,166,1368.619862
1383.7,400,1372.94259
803.8,1622,1382.52055
1184.9,4673,1409.374633
1404.3,1177,1416.228291
876.5,2220,1430.560627
-1404.9,10000,1486.991748
1758.7,722,1492.866449
1824.3,966,1499.295393
1179.2,236,1499.824483
1793.1,188,1500.242693
1381.0,206,1505.045476
1972.4,790,1509.467076
-1231.0,4526,1535.906277
