enemy score,coin score,step_score,key score,clear_rate,dc
0.525,0.506,0.416,0.416,0.975,"[3, 0, 0]"
0.526,0.509,0.415,0.415,0.971,"[0, 0, -3]"
0.524,0.508,0.415,0.415,0.98,"[0, 0, -9]"
0.526,0.506,0.415,0.415,0.979,"[4, 0, 0]"
0.523,0.504,0.415,0.415,0.978,"[0, 3, 0]"
0.518,0.504,0.415,0.415,0.983,"[0, -2, 0]"
0.527,0.508,0.414,0.414,0.974,"[0, 8, 0]"
0.527,0.508,0.413,0.413,0.976,"[0, 2, 0]"
0.523,0.508,0.413,0.413,0.976,"[0, 0, -5]"
0.525,0.507,0.413,0.413,0.984,"[0, 7, 0]"
0.519,0.509,0.412,0.412,0.975,"[0, 4, 0]"
0.521,0.508,0.412,0.412,0.97,"[0, 0, -6]"
0.526,0.507,0.412,0.412,0.973,"[0, 0, -1]"
0.523,0.503,0.411,0.411,0.979
0.532,0.506,0.41,0.41,0.98,"[0, 5, 0]"
0.53,0.506,0.41,0.41,0.974,"[6, 0, 0]"
0.534,0.507,0.409,0.409,0.971,"[2, 0, 0]"
0.524,0.506,0.409,0.409,0.979,"[0, 0, 2]"
0.524,0.504,0.409,0.409,0.975,"[0, 0, 1]"
0.531,0.509,0.408,0.408,0.969,"[1, 0, 0]"
0.53,0.509,0.408,0.408,0.976,"[7, 0, 0]"
0.525,0.508,0.408,0.408,0.982,"[0, -4, 0]"
0.529,0.504,0.408,0.408,0.973,"[0, 0, -8]"
0.529,0.507,0.407,0.407,0.968,"[0, 0, -10]"
0.528,0.506,0.407,0.407,0.978,"[0, 0, -7]"
0.527,0.505,0.407,0.407,0.971,"[-2, 0, 0]"
0.53,0.507,0.406,0.406,0.974,"[0, 1, 0]"
0.526,0.506,0.406,0.406,0.976,"[0, -3, 0]"
0.524,0.506,0.406,0.406,0.978,"[0, 0, -2]"
0.515,0.506,0.406,0.406,0.985,"[-4, 0, 0]"
0.537,0.509,0.405,0.405,0.968,"[5, 0, 0]"
0.532,0.509,0.405,0.405,0.964,"[0, -1, 0]"
0.532,0.506,0.405,0.405,0.969,"[8, 0, 0]"
0.532,0.512,0.404,0.404,0.967,"[0, 9, 0]"
0.53,0.511,0.404,0.404,0.973,"[0, 6, 0]"
0.518,0.507,0.404,0.404,0.983,"[0, 0, -4]"
0.525,0.506,0.404,0.404,0.979,"[0, 0, 4]"
0.527,0.505,0.404,0.404,0.972,"[0, -9, 0]"
0.531,0.505,0.403,0.403,0.974,"[0, 0, 8]"
0.523,0.503,0.403,0.403,0.98,"[0, -6, 0]"
0.518,0.504,0.402,0.402,0.973,"[0, -5, 0]"
0.523,0.504,0.4,0.4,0.976,"[0, -7, 0]"
0.526,0.507,0.399,0.399,0.974,"[9, 0, 0]"
0.532,0.506,0.399,0.399,0.97,"[0, 0, 3]"
0.529,0.505,0.399,0.399,0.978,"[-5, 0, 0]"
0.527,0.504,0.399,0.399,0.977,"[0, 0, 7]"
0.523,0.503,0.399,0.399,0.974,"[0, -8, 0]"
0.526,0.51,0.398,0.398,0.969,"[0, 10, 0]"
0.528,0.507,0.398,0.398,0.973,"[-3, 0, 0]"
0.519,0.506,0.398,0.398,0.98,"[-7, 0, 0]"
0.527,0.51,0.396,0.396,0.969,"[-1, 0, 0]"
0.529,0.506,0.394,0.394,0.966,"[0, 0, 6]"
0.526,0.505,0.394,0.394,0.966,"[-6, 0, 0]"
0.527,0.503,0.394,0.394,0.974,"[-8, 0, 0]"
0.523,0.508,0.392,0.392,0.974,"[0, 0, 5]"
0.517,0.503,0.392,0.392,0.979,"[-10, 0, 0]"
0.53,0.506,0.391,0.391,0.971,"[0, 0, 10]"
0.52,0.505,0.391,0.391,0.978,"[-9, 0, 0]"
0.537,0.508,0.39,0.39,0.973,"[10, 0, 0]"
0.523,0.504,0.389,0.389,0.974,"[0, 0, 9]"
0.524,0.504,0.388,0.388,0.966,"[0, -10, 0]"
